id,date,title,type,location,priority_tier,short_description,company,role,source,status,updated,folder_local_location
1,2026-07-25,Trainee Software Engineer,On-site,"Dhaka, Bangladesh",3,"Fresher/trainee requisition rewritten for the AI era — weights AI-output verification, specification skill and learning velocity above coding throughput. Applied with an honest senior CV. 50,000 BDT/month through a six-month probation.",WellDev,Trainee Software Engineer,recruitment.welldev.io portal,Task/Test,2026-08-03,jobs/Applied/26-07-25_well-dev_Trainee-Software-Engineer
2,2026-08-04,Senior Full-Stack Engineer (Django / Next.js),Remote,Global,1,"Applied 4 Aug, 6 days after posting; deadline 2026-12-31. Closest stack match found: Django REST Framework + Celery + PostgreSQL + React/Next.js/TypeScript, and daily Claude Code/Cursor fluency is a stated requirement. Open to candidates from all countries. Unresolved: EST or GMT+1 timezone, employee-vs-contractor, and 5+ years asked. $25-30/hr.",Search Atlas,Full-Stack Engineer,Himalayas,Applied,2026-08-04,jobs/Applied/26-08-03_search-atlas_Senior-Full-Stack-Engineer
4,2026-08-04,Senior Backend Developer (Python),Remote,Global,1,"Applied 4 Aug, inside the escalated window (posted ~13 Jul, no stated deadline). Listed Anywhere in the World with no timezone constraint — rare. Proxify is a vetted talent network, not the end client, so the deliverable is passing vetting once. Body text unreadable (HTTP 403); seniority bar and rate unverified.",Proxify AB,Backend Developer,We Work Remotely,Applied,2026-08-04,jobs/Applied/26-08-03_proxify_Senior-Backend-Developer-Python
5,2026-08-03,Mid-Level Full Stack Developer,Remote,Bangladesh,1,"ARCHIVED — BDJobs deadline expired before applying; never submitted. Was: fully remote anywhere in Bangladesh, strong on React/Next.js, PostgreSQL, Redis, multi-tenant, OpenAI/Claude, but weak on the backend (Node.js/Express/BullMQ, not Python). Do not surface again unless reposted with a fresh date.",Vexa AI,Full-Stack Developer,BD Tech Jobs / BDJobs,Archived,2026-08-04,jobs/Archived/26-08-03_vexa-ai_Mid-Level-Full-Stack-Developer
6,2026-08-03,Assistant Programmer,Government,"Dhaka, Bangladesh",2,"ARCHIVED — BLOCKED BY NO-OBJECTION CERTIFICATE. The application requires an NOC from the current employer and Softvence is unlikely to issue one, so it could not be submitted; deadline 16 Aug 2026 was still live. Treat NOC-requiring BD government circulars as blocked while employed at Softvence, and check for the NOC clause at the finding stage. Do not surface this circular again.",Civil Aviation Authority of Bangladesh (CAAB),Assistant Programmer,caab.teletalk.com.bd,Archived,2026-08-04,jobs/Archived/26-08-03_caab_Assistant-Programmer
7,2026-08-03,Senior Full Stack Developer (Python),On-site,"Dhaka, Bangladesh",3,"ARCHIVED — BDJobs deadline expired before applying; never submitted. Was the best on-site stack fit found (Django, DRF, REST APIs, PostgreSQL, AWS, CI/CD, Redis all evidenced; 80,000-150,000 BDT), so a repost is worth catching early. Do not surface again unless reposted with a fresh date.",MVI Solutions,Full-Stack Developer,BD Tech Jobs / BDJobs,Archived,2026-08-04,jobs/Archived/26-08-03_mvi-solutions_Senior-Full-Stack-Developer-Python
8,2026-08-03,Senior Backend Developer - Real-Time Data & AI Platform,On-site,"Dhaka, Bangladesh",3,"ARCHIVED — BDJobs deadline expired before applying; never submitted. Was the highest salary band found (90,000-180,000 BDT) but the worst stack overlap of the on-site set: serverless, DynamoDB, MongoDB and Elasticsearch all genuinely absent. Do not surface again unless reposted with a fresh date.",Codixel,Backend Developer,BD Tech Jobs / BDJobs,Archived,2026-08-04,jobs/Archived/26-08-03_codixel_Senior-Backend-Developer
10,2026-08-03,Software Engineer (Python/Django),On-site,"Dhaka, Bangladesh",3,"EdTech startup; asks only 12-18 months but the role is leading v2.0 with CTO-track stock options — a founding-engineer shape under a mid-level title. Clears or exceeds every requirement except MongoDB. 50,000-70,000 BDT is likely a pay cut.",Bohubrihi,Software Engineer,SmartRecruiters,Applied,2026-08-04,jobs/Applied/26-08-03_bohubrihi_Software-Engineer-Python-Django
11,2026-08-12,Senior Fullstack Developer (Python),Remote,Global,1,"ARCHIVED — decided against, never applied to; no CV built. Deadline 2026-08-16 was still live, so this did not die of expiry. Fullstack shape put real weight on the frontend half (React or Vue) where the profile is weakest — React only via Omnyvora, Vue absent. The Backend Developer opening at the same vetted network, applied to 2026-08-04 (row 4), is the better-fitting shape of the same opportunity. Prefer backend-titled Proxify openings over fullstack-titled ones. Do not surface again.",Proxify AB,Fullstack Developer,We Work Remotely,Archived,2026-08-14,jobs/Archived/26-08-12_proxify_Senior-Fullstack-Developer-Python
12,2026-08-12,Python Developer,On-site,"Dhaka, Bangladesh",3,"Strong stack fit: Django (must-have) and FastAPI (preferred) both evidenced across four production backends each, plus async/event-driven (Celery, Django Channels, webhooks) and NoSQL via Redis. Location not stated in posting but confirmed on-site Dhaka via Glassdoor/LinkedIn/Crunchbase. Two flags: JD states 2+ years experience vs ~1yr professional, and NoSQL claim is Redis (key-value) not a document store. Posting date/deadline unverifiable — treated as escalated per CLAUDE.md rule 6. Applied 13 Aug via the candidate form; free-text answers on motivation and a recent build are recorded in notes.md.",Exabyting,Python Developer,LinkedIn,Applied,2026-08-13,jobs/Applied/26-08-12_exabyting_Python-Developer
